RATA_RATA,MAT,BIO,KIM,BIG,INDEKS,TARGET
98.51,98.6,98.4,98.6,98.4,0.803,1
91.62,96.2,94.8,90.2,91.8,0.804,1
93.96,95,93.4,93.4,95,0.848,1
91.71,94.4,95,90.8,90.8,0.846,1
93.84,93.2,94,93.6,93.4,0.851,1
94.07,93,94,93.8,94,0.794,1
91.50,92,91,90,93,0.848,1
89.38,91.8,89.6,90,90.8,0.865,1
91.26,91.8,91.2,88.8,93.4,0.922,1
90.85,91,90.6,91.2,92.6,0.773,1
89.96,90.6,88.2,89.8,91.4,0.836,1
89.84,90.4,89.8,88.2,90,0.85,1
89.92,90.4,91.8,89.6,88.4,0.88,1
90.46,89.4,91.8,88.2,94,0.783,1
89.06,89,89.8,89.6,88.8,0.922,1
91.00,89,92,88.4,89.2,0.807,1
91.00,88.6,90.6,89.2,92,0.774,1
90.94,87.8,90.2,89.8,89.2,0.806,1
85.27,87.4,86.6,84.4,84.8,0.85,1
87.05,87.4,91.6,85,85,0.855,1
88.58,87.2,90.4,89.8,87,0.805,1
85.45,87,87.4,85,88.6,0.871,1
88.00,87,91.4,87,86.4,0.839,1
91.09,87,91.6,90.6,89.8,0.806,1
87.63,86.8,90.6,85,85.2,0.839,1
87.06,86.8,90.6,87.4,85,0.834,1
85.77,86.4,89.4,88.4,83.6,0.806,1
86.81,86.2,86.8,86,85.6,0.826,1
85.55,86,86.8,85.4,85.2,0.822,1
85.17,85.8,85.8,85.4,85,0.84,1
86.95,85.6,85.8,87.4,86.2,0.905,1
87.65,85.6,86.2,84.2,89.2,0.893,1
87.86,85.6,88.6,85.4,88.4,0.854,1
84.43,85.4,84.6,82.6,84.4,0.865,1
87.60,85.4,87.4,88.2,84.4,0.884,1
86.74,85,86,86.2,88.6,0.854,1
87.81,85,88.4,85,85.8,0.878,1
88.21,84.8,86.2,88.4,86.4,0.823,1
85.97,84.6,88.4,82.6,86,0.85,1
85.11,84.4,82.4,83.8,81.6,0.867,1
85.22,83.6,85.4,83.8,85.6,0.845,1
85.26,82.6,84.8,82.8,82.6,0.867,1
87.72,82.2,87.2,83,89.6,0.893,1
84.97,81.8,83.6,79.6,86.4,0.924,1
87.48,88.6,85.4,87.4,90.4,0.687,0
82.96,81.4,85,84.8,84.4,0.842,0
82.52,81.4,84.6,82.2,78.8,0.732,0
88.56,91.2,86.6,91,88.2,0.722,0
85.64,82.6,82,81.8,84.8,0.725,0
84.85,83.2,84.6,83.2,82.6,0.776,0
86.72,86,86.6,87.6,87.4,0.785,0
86.40,81.2,85.4,91.6,82.6,0.762,0
88.20,87.2,87.2,86,88.6,0.77,0
83.47,79.2,84,79.4,86.8,0.767,0
84.01,81.4,84.4,79.4,83.2,0.714,0
86.34,80.2,87.2,85.2,87.2,0.714,0
84.55,83.2,84.2,83.6,85.8,0.766,0
89.10,85,90,86,85,0.741,0
88.94,86.6,89.4,88.4,90.4,0.625,0
86.38,89.4,88.6,89.2,93,0.745,0
82.62,81.8,81.8,83.2,81.8,0.82,0
86.69,85.2,84.8,86.4,88.2,0.791,0
85.40,83.4,83.6,85,85,0.786,0
82.36,77.6,81.6,79.4,84,0.784,0
88.32,87.8,89.8,86.2,87.2,0.725,0
84.98,80.6,83,83.4,86.4,0.785,0
84.08,80.8,87.4,85.8,80.2,0.71,0
80.75,79,82.8,81.8,78,0.708,0
83.18,79.2,81.8,80.4,81.4,0.816,0
85.34,85,85,84.4,85.8,0.766,0
79.23,79.2,74.6,79.2,79.4,0.71,0
86.14,89.2,85.6,82.8,78.4,0.914,0
89.83,91.8,88,89.2,91.2,0.775,0
90.81,90.2,88.8,90.8,91.8,0.855,0
88.06,88,88.6,86.8,87.2,0.788,0
86.81,86.8,85.6,84.2,86.6,0.826,0
86.77,83.4,85.8,82.4,86.4,0.832,0
84.90,84.2,84.4,83.8,81.6,0.786,0
91.87,93.2,92.6,93.8,90.8,0.825,0
85.33,82.4,81,85.8,84.4,0.792,0
82.32,80.2,81.2,83,79.6,0.73,0
89.33,88.2,89.6,91.4,92,0.832,0
88.17,87,86.8,86.2,90,0.875,0
84.21,83.2,81.8,85.4,88.4,0.796,0
88.63,87.2,86.6,87,90.4,0.775,0
91.28,92,90,93.8,91.4,0.775,0
93.63,93,93.8,93.4,92.8,0.794,0
89.07,87.4,85.6,87.8,90.2,0.775,0
